,name,category,rating,price,currency,description
483,"The Balvenie Tun 1509 (Batch #3), 52.2%",Single Malt Scotch,91,350,$,"The third batch in this series comprises twelve sherry butts distilled between 1989 and 1992, eleven American oak hogsheads from 1989, and eight refill American oak butts distilled in 1992 and 1993. Rich sherry, honey, and malt notes on the nose, with figs and citrus peel. Silky on the palate, with Jaffa oranges, raisins, ginger, and plain chocolate. Licorice, sherry, and spicy oak in the very long finish. (8,850 bottles)"
484,"Bruichladdich Black Art 05.1 1992, 48.4%",Single Malt Scotch,91,330,$,"As ever, the composition of Black Art is a closely guarded secret, and this is distiller Adam Hannett’s first such assembly. Rich aromas of fig, succulent autumn berries, sherry, cream, and malt feature on the complex, floral nose. Viscous on the palate, which opens dry, with developing berry fruits and spicy oak, plus dried fruits and candied peel. Long and drying in the finish, with plum and peppery oak."
485,"Buchanan’s Red Seal, 40%",Blended Scotch Whisky,91,169,$,"Inhale deeply and this bestows a sense of serenity; morning dew on clipped lawns strewn with spent fireworks and strands of honey mingled with subtle, elegant smoke. Blender Maureen Robinson’s light, well-balanced creation ushers in gentle honey and growing sweetness, before billowing puffs of smoke grow dominant. Charred peaks of a lemon meringue pie, iced coffee, and milk chocolate follow, leaving a catch of smoke in the aftertaste. Quite a charmer."
486,"Classic Cask 23 year old Original Cask, 43%",Blended Scotch Whisky,91,160,$,"This archetypal midnight dram enthralls with aromas of cedar wood humidor, blossom honey, hazelnut, vanilla pod, treacle cake, and maple syrup. Dry as leaves, save for some floaty florals. It’s less weighty than some whiskies at this age, with a balanced show of cinnamon, cocoa, berry fruits, dried grapefruit, hard peel, wood spices, dark toffee, and oak. A finish of dark vanilla, oak, spice, and leather make for a fine digestif. (782 bottles)"
487,"That Boutique-y Whisky Company (distilled at Bruichladdich) 23 year old, 47.4%",Single Malt Scotch,91,111,$,"There is a beautiful interplay between the lemon and sharp lime set against the bracing coastal nature of this dram. Gentle vanilla, honey, lemon zest, and gooseberry compote waft from the glass. Vanilla frosting, coconut macaroon bars, malt drinks, peach, lemon, and an undercurrent of pepper. Creamy chocolate once the spice subsides, it ends with a fantastically chewy mouthfeel. Nuts, pepper, and cocoa make for a mouth-coating finish."
488,"Alexander Murray & Co. The Monumental 18 year old, 40%",Blended Scotch Whisky,91,65,$,"Sweet caramel on the boundary of maple syrup flavors, with aging tobacco leaf, walnuts, malted barley, charcoal sticks, and snuffed candle wicks, all cushioned by soft oak. An initial impression of a lighter character, though it’s bursting with juicy toffee, butterscotch sauce, wood spices, and dried banana. The spices vibrate gently around the gums on the dry finish of this high-malt content blend, leaving nutty residual flavors."
489,"GlenDronach 25 year old Grandeur (batch 7), 50.6%",Single Malt Scotch,91,850,$,"Matured in oloroso sherry casks. Confident plum, prune, and raisin notes on the early nose, with developing ripe cherries, sherried fudge, and resin. A slightly earthy undertone. Viscous in the mouth—very sweet—with developing tingling spices, then darker fruit notes emerge, with licorice and plain chocolate. The finish is long, with enduring dark chocolate and fruity spice. (1,180 bottles)"
490,"Benromach 1975, 49.9%",Single Malt Scotch,91,1600,$,"This vintage bottling was distilled during the 1970s and spent 41 years in a refill bourbon hogshead (#3434). Spicy on the early nose, with fresh oak. Increasingly malty, with ginger and apricot. The palate is rich and full, with Jaffa orange, stewed apples, cocoa, and pipe tobacco. Plain chocolate and increasingly tannic oak in the finish. Ultimately, warming spicy citrus fruits and smoky black pepper. (162 bottles) £1,250"
491,"Glen Scotia 25 year old, 48.8%",Single Malt Scotch,91,320,$,"Maturation took place in refill bourbon casks before a final 12-month period in first-fill bourbon casks. Lemon, ginger, pine resin, and a hint of sea salt on the nose, then banoffee pie develops. Luscious on the palate, with subtle spice, a touch of ashy smoke, and principally big orchard fruit notes. Drying in the lengthy finish, with a wisp of smoke, brine, and peppery oak. Glen Scotia at its characterful best.£250"
492,"Rock Oyster Sherry Edition, 46.8%",Blended Malt Scotch Whisky,91,60,$,"The salty coastal twang meets the sherry head on, revealing mandarin, gingerbread, glazed ham, clove, seashells, and driftwood bonfires built on pebble beaches. Smoke comes to dominate the sherry. Orange oils precede a delayed ignition of the spices. More honeyed sweetness comes through, while a smothering layer of peat rises up. Warm spicy finish, until a thick curtain of smoke closes it down. But hey, this rocks."
493,"Glen Scotia 18 year old, 46%",Single Malt Scotch,91,113,$,"New for 2017, this was matured for 17 years in bourbon casks before being finished in oloroso sherry casks for 1 year. The nose is fragrant, with prunes, oranges, vanilla, and faint wood polish. Ultimately, ozone. Silky palate delivery, with sweet sherry, honey, and dark chocolate-coated orange fondant creams, then a note of angelica. The finish offers spicy plain chocolate and a suggestion of sea salt. £86"
494,"The Dalmore Port Collection 1996 Vintage, 45%",Single Malt Scotch,91,592,$,"Dalmore launched a trio of vintages finished in tawny port pipes. The pick of the bunch is the oldest, distilled in 1996, which displays a confident, rich nose of raisins, mildly smoky prunes, vanilla, and blood orange. Full-bodied in the mouth, with red berry fruits, ginger, white pepper, and spicy oak. Medium-length in the finish, with coffee-soaked oak, figs, and damsons at the close. £450"
495,"Jura One and All, 51%",Single Malt Scotch,91,158,$,"This limited edition 20 year old assemblage was matured in bourbon barrels, sherry casks, Cabernet Franc casks, Cabernet Sauvignon casks, and Pinot Noir barriques. Rich and sweet on the nose, with marzipan, apricot jam, and fresh pineapple with vanilla custard. Silky, with ginger, cherries, and caramel on the palate. The finish is long, with black pepper, licorice, and slightly tannic oak. (5,000 bottles) £120"
496,"Royal Salute Special Batch 21 year old Polo Edition, 40%",Blended Scotch Whisky,91,145,$,"A pedigree blend gracing your glass with aromas of sultana, prune, glacé cherry, toffee, nutmeg, dense dark fruits, sweet toffee, and cozy Christmas spices. This well-paced, silky blend canters through red apple, cherry, pomegranate, pressed date bars, Brazil nut, nutmeg, and pepper. Cinnamon, black pepper, and apple peel make for a harmonious finish. A suitably glamorous libation for spectators of the sport of kings. £110"
497,"Glenfiddich Winter Storm 21 year old, 43%",Single Malt Scotch,91,250,$,"Glenfiddich’s Experimental Series continues with this expression, finished for up to 6 months in ice wine casks sourced from Peller Estates winery in Ontario, Canada. Concentrated aromas of canned peaches in syrup, vanilla, and clotted cream. Silky on the palate, with a carryover of peaches from the nose and succulent blood oranges. The finish is medium in length, slowly drying, but fruity to the end. (7,800 bottles in U.S.)"
498,"Bruichladdich 1986, 44.6%",Single Malt Scotch,91,"1,100",$,"This expression was distilled in December 1986 and filled into seven oloroso sherry butts. In 2012 the whisky was transferred to Pedro Ximénez butts for finishing. The nose yields sultanas, figs, old leather, and white pepper. Very sweet fruit notes on the palate, almost sugary, with background rich sherry, dates, and treacle. Long and warming in the finish, with a wisp of smoke and fruit spices. (4,200 bottles)"
499,"Kilchoman 2009 Vintage, 46%",Single Malt Scotch,91,100,$,"Matured in a combination of oloroso sherry butts filled in 2008, and bourbon barrels filled in 2008 and 2009. The nose is initially flinty, with lemongrass, fabric Band-Aids, fudge, and vanilla. Ultimately the lemon is joined by Jaffa orange juice. Supple and sweet on the palate, with developing nutmeg and white pepper. Peppery in the finish, with plain chocolate and aromatic peat smoke. (840 bottles)"
500,"Ardbeg Twenty Something, 46.3%",Single Malt Scotch,91,550,$,"This 23 year old expression was released for the Ardbeg Committee. It includes whisky matured in sherry and bourbon casks. Sweet asphalt, bonfire smoke, lemon sponge drizzled in iodine, and background cinnamon on the nose. Succulent, sherried, and chocolate-coated orchard fruits on the oily palate, with vanilla and sweet peat. The peat dries slowly in the finish, with developing licorice, kippers, and peppery oak"
501,"Johnnie Walker Blue Label Ghost and Rare, 46%",Blended Scotch Whisky,91,400,$,"This is much more muscular than the regular, un-haunted Blue Label. It delivers a multitude of flavors—butter toffee, sweet smoke, citrus peel, and dry spices—tantalizingly peeling off layer after layer, building a slow crescendo to a peak of spices and bitter citrus. Mouth drawing with caramel, apple, pear, and sherbet, a mid-palate of zesty orange and baking spices before topping out with bitter peels, grapefruit, smoke, and sour hard candy."
502,"Benromach 1977, 56%",Single Malt Scotch,91,"1,735",$,"This 39 year old was matured in a single refill American hogshead. Orange Jujubes on the early nose, with vanilla, honey, and linseed. Big, sweet, soft fruit notes on the palate, with pipe tobacco and a hint of background peat smoke. Aniseed and ginger develop, along with the merest hint of old oak in the persistently fruity finish. £1,250; Not available in the U.S. (225 bottles)"
503,"Dewar’s 30 year old Ne Plus Ultra, 40%",Blended Scotch Whisky,91,499,$,"This Pedro Ximénez-finished blend is the oldest Dewar’s expression available. It offers a deliciously deep nose of chocolate-dipped biscuits, dried fruits, and orange peel. The palate includes indulgent rewards of berry fruit, chocolate praline, raspberry, cherry, dried cranberry, and hazelnut. It remains succulent throughout, the sherry fruit keeping the upper hand over the chocolate and batting away the occasional coffee note. A dry finish with nutty chocolate and roasted spice. (Global Travel Retail only)"
504,"Ardbeg Grooves, 46%",Single Malt Scotch,91,110,$,"The 2018 Ardbeg Day limited-edition bottling includes a proportion of spirit matured in red wine casks which have been heavily charred, leaving deep grooves in the surface of the oak. Fragrant soft smoke, warm leather, and salty red berries on the nose; background charcuterie. The palate offers red berry fruits, vanilla, dense peat smoke, brine, and asphalt. Beach bonfires and black pepper in the sweet finish."
505,"Bowmore Vault Edition Atlantic Sea Salt (First Release), 51.5%",Single Malt Scotch,91,140,$,"This is the first of four bottlings in the Vault Edition series and was matured in bourbon barrels in the distillery’s famous No.1 Vaults. Nectarines in brine on the nose, with iodine and sweet spices. Medium-bodied on the palate, with peaches, vanilla, salt, and slightly bitter orange. Lingering orange notes in the finish, with cocoa powder and lots of salt. This expression lives up to its name!"
506,"Compass Box Spice Tree, 46%",Blended Malt Scotch Whisky,91,65,$,"The tastiest of their Signature range, this boasts a dry oak and spice nose with fudge, rye bread, and banana interwoven with French oak influences of nutmeg, cinnamon, and ground ginger. As the gentle orange, malt, pear, and apple settle down, little spicy explosions of ginger and pepper detonate, leaving an aftermath of spiced malt, coffee cake, milk chocolate, and cocoa. Such a wonderful flavor trajectory to behold."
507,"GlenDronach Single Cask #5476, 49.9%",Single Malt Scotch,91,418,$,"The oldest of the fifteen expressions in Batch 16 of GlenDronach’s single cask release program, this cask-strength offering has been matured for 26 years in a Pedro Ximénez sherry puncheon. The nose yields fresh-from-the-oven Christmas cake, cherries, nutmeg, and sweet leather. Viscous on the palate, with dark sherry, raisins, plain chocolate, tangy orange, and caramel. Prickly chili and dates in the long finish. (546 bottles) £310"
508," The Glenrothes Vintage 2004, 43%",Single Malt Scotch,91,65,$,"This was matured in American oak sherry-seasoned casks. The nose offers cherry liqueur, sultanas, fruit spice, honey, and new leather. Vanilla and sweet orchard fruits on the early palate, followed by darker berry fruits, soft oak, and a savory note. Cocoa powder and a wisp of smoke in the medium-length finish. (3,150 bottles for U.S.)"
509,"Kilchoman Loch Gorm 2018, 46%",Single Malt Scotch,91,110,$,"This includes whiskies from nineteen oloroso sherry butts filled in 2007, 2008, and 2011. Medium sherry, orange marmalade, cinnamon, and developing sea salt on the nose. The palate yields more sherry, earthy peat, dark chocolate, honey, and ginger. Fruit spice, sultanas, and charcuterie in the medium to long finish. The best Loch Gorm to date. (15,000 bottles)"
510,"Laphroaig Quarter Cask, 48%",Single Malt Scotch,91,60,$,"This expression is aged for approximately 5 years in bourbon barrels before spending a final few months in quarter casks. Characteristic tar, engine oil, and ashy peat on the nose. Oily and full on the palate, with sweet grain notes, cinnamon, seaweed, hot peat, and black pepper. The finish is long and powerful, with persistent peat and chili, plus a sprinkling of sea salt."
511," Port Charlotte 10 year old, 50%",Single Malt Scotch,91,65,$,"Distilled from Scottish barley, this is the first permanent age-statement Port Charlotte bottling. First and second-fill American oak and French wine casks were used for aging. Rock pools, lemon juice, caramel, but little overt peat on the nose. The palate boasts big orchard fruit notes, smoky coconut, and brine. Again, the peat is quite muted. Long and spicy in the drying, peaty finish."
512,"Daftmill Inaugural Release 2005, 55.8%",Single Malt Scotch,91,276,$,"After 12 years of waiting, Francis Cuthbert has finally released the first bottling of his Daftmill Lowland single malt. The nose is soft and floral, with peaches, walnuts, coconut, warm caramel, and milk chocolate. The palate features cereal, almonds, nougat, and subtle citrus fruits. Drying in the relatively long finish, with subtle oak. Well worth the wait! (629 bottles) £210"
513,"Samaroli Islay 2017 Edition, 43%",Blended Malt Scotch Whisky,91,176,$,"Chocolate orange, a sizzle of bacon fat, and dry peat. While this feels less potent than Samaroli’s other Islay offerings, it fits the mood perfectly for a nightcap. The taste buds detect orange, honey, chocolate praline, hazelnut, Oreos, a hint of cocoa, and an underbelly of peat smoke that carries into the finish. A wonderfully rich, smooth digestif that will transport you back to Islay in your dreams."
514,"Glenmorangie Grand Vintage Malt 1993, 43%",Single Malt Scotch,91,675,$,"The third release in Glenmorangie’s Bond House No.1 Collection spent 10 years in bourbon casks before being transferred into Bual madeira casks for 15 years of secondary maturation. Spicy nougat and ginger on the nose, stewed apricots, and a hint of bonfire smoke. Viscous on the palate, juicy, with strawberry liqueur chocolates. Spices linger long in the finish, with damsons and dark chocolate. (Travel Retail exclusive)"
515,"Highland Park Viking Pride 18 year old, 46%",Single Malt Scotch,91,186,$,"This is one of four new additions to the portfolio in 2018, and is the pick of the bunch. It is a ‘marrying-strength’ variant of the 18 year old, relaunched in 2017. Treacle tart, sweet woodsmoke, and milky coffee on the robust nose. The palate is voluptuous, with tangy orange, malt, and more woodsmoke. Milk chocolate and smoky Jaffa oranges in the finish. (Travel Retail exclusive)"
516,"Johnnie Walker 18 year old, 40%",Blended Scotch Whisky,91,85,$,"Complex, elegant textures from the get-go; woodsmoke from a bonfire of green twigs, ashy peat embers, grain stores, vanilla cream, and honey drizzled over baked apples. Golden syrup flapjacks, vanilla fudge, candied apricot, orange peel, Quaker oats, gingerbread, pepper, and a catch of smoke that bridges into the finish, where hints of citrus and golden honeyed grains are found. Classical allure, but eminently accessible."
517,"Sheep Dip, 40%",Blended Malt Scotch Whisky,91,44,$,"Fresh morning blooms in the flower shop, soft summer fruits of cantaloupe, nectarine, peach, apricot, scallop-shaped madeleines, light vanilla, and dry, unobtrusive spices on this blend of sixteen single malt whiskies. Plunge into a pool of honey, orange, mango, vanilla, and sugary-sweet candy, shot through with little darts of spice. The finish is relatively short, with sweet pastries and light pepper, but I think ewe will like this."
518,"Mortlach 16 year old Distiller’s Dram, 43.4%",Single Malt Scotch,91,100,$,"One of three Mortlachs introduced in 2018, this has much to live up to, as the classic Flora & Fauna Mortlach was also 16 years old. The whisky has been aged entirely in sherry casks. The nose offers malt, gingersnaps, baked apple, and a delicate savory note. Quite full-bodied, with toffee apples, gammon, and old leather on the palate. Cocoa powder and tinned peaches in the finish. Editors’ Choice"
519,"Caol Ila Unpeated 15 year old, 59.1%",Single Malt Scotch,91,129,$,"Unpeated Caol Ila has become a staple in Diageo’s Special Releases program. This year’s expression was matured in a combination of refill and rejuvenated American oak barrels and bodega European oak butts. Fresh and spicy on the nose, with tropical fruit aromas. Creamy on the palate, with fruit-and-nut milk chocolate bars, plus notes of developing citrus. The finish is slightly earthy, with wood spices."
520,"Glen Fohdry Làn-abaich 21 year old Speyside, 47.1%",Single Malt Scotch,91,80,$,"Though the name means “rich and mellow,” this whisky offers fresh, clean aromas: honeysuckle and lilies; melon, lemon, and lime; hay and grass, a sunlit meadow. Sweet and zingy on the palate, with lemon oil, guava candy, blueberry, strawberry, gentle spice, milk chocolate, and walnuts. More spice on the finish, with polished oak and dried fruit. Well constructed, supple, and easy to enjoy. (Total Wine & More)"
521,"Glen Fohdry Aiteal an Òir 12 year old Speyside, 47.1%",Single Malt Scotch,91,38,$,"Honey Nut Cheerios, pistachios, pomegranate, and softly spiced, earthy aromas lead into a rich palate of juicy grapefruit, guava, salted dark chocolate, and toasted nuts, with biscuity and oaky flavors to round things out. Gentle, but well balanced; no need to add water. (Total Wine & More)"
522,"Kilchoman 100% Islay 8th Edition (2018 Release), 50%",Single Malt Scotch,91,110,$,"This expression was distilled from Optic barley grown and malted (to 20ppm) at Kilchoman and matured in a mix of bourbon and sherry casks. A whiff of smoke, lemon curd, vanilla, and allspice on the nose. Supple in the mouth, with baked apples, sherry, and fruity peat. Spicy dark chocolate and nutty oak on the finish. Richer and more rounded than previous editions, thanks to sherry cask influence."
523,"Big Peat Platinum 26 year old, 51.8%",Blended Malt Scotch Whisky,91,300,$,"A larger and mightier beast overall, with menthol, mint Life Savers, raisins, chocolate wafer bars, and thick gray smoke lifting off smoldering peat. The experience is mouth drawing and full bodied at this strength, with sweet orange, milk chocolate, clove, and nutmeg, the roof of the palate cloaked in a night sky of celestial peppery spices. Take it easy with water, but use it to unshackle the soaring citrus notes. (1,100 bottles for the U.S.)"
524,"Timorous Beastie 24 year old, 46.8%",Blended Malt Scotch Whisky,91,200,$,"Coconut macaroon, baked sweet pastries, peach purée, sanded oak, Starburst chews, pear, caramel shortbread, strands of orange zest, and crushed allspice and coriander seeds. Far from timorous, this grown-up Highlander has the heart of a lion, with flavors of cooked apple, dark molasses, vanilla pod, lots of oak tannin, pepper, and coriander seed, with a finish of dark sugars and peppery heat. Quite an animal. (828 bottles for the U.S.)"
525,"Talisker Select Reserve, 45.8%",Single Malt Scotch,91,45,$,"This represents House Greyjoy and features its kraken. The nose offers damp tweed sprinkled with black pepper, plus smoky vanilla and ozone notes. Sweet smoke and citrus fruit on the palate, then more overt peatiness comes to the fore with soft toffee. Medium in length through the finish, with lingering toffee and light pepper. Great value! Editor's Choice"
526,"Kilchoman Loch Gorm 2018, 46%",Single Malt Scotch,91,110,$,"The first edition of Loch Gorm appeared in 2013, and it remains the distillery’s only whisky to be fully matured in sherry casks. The 2018 iteration comprises the contents of nineteen oloroso sherry butts filled in 2007, 2008, and 2011, the oldest of which are some of the first sherry casks filled at Kilchoman. These rich, confident aged whiskies converge in the best Loch Gorm to date, showcasing the expression’s trademark blend of succulent sherry, cooked fruits, and earthy peat, along with flavors of honey, ginger, sultanas, and spice. Number 15 in the 2018 Top 20 
"
527,"Sheep Dip Islay Blended Malt, 40%",Blended Malt Scotch Whisky,91,60,$,"Deftly blending the power and grace of popular Islay malts, this whisky offers a sizzle of bacon fat, thick clods of peat, cocoa, and breezy smoke on the nose. The rounded palate has sweet satsuma, swathes of toasted spice, sweeping malty notes, delicious chocolate, and burnt caramel. The wafting smoke builds formidably, until it engulfs the back of the palate. Sheep Dip whisky may have been around since the 1970s, but this latest creation maps out the best of modern Islay styles to great effect. A triumphant, approachable blend that shows great strength of purpose, yet remains full of charm. Number 13 in the 2017 Top 20 
"
528,"Arran 21 year old, 46%",Single Malt Scotch,91,200,$,"Arran’s latest addition to its core range is matured in bourbon and oloroso sherry casks. Mellow on the nose, with baked apple and toffee, then developing tropical fruits and icing sugar aromas in time. Sweet and balanced on the palate; spicy, with milk chocolate and peaches in syrup. Lengthy in the finish, with tangy fruit notes, restrained oak, and gentle spices. (9,000 bottles)"
529,"Grand MacNish Double Matured 15 year old Sherry Cask Finish, 43%",Blended Scotch Whisky,91,55,$,"Rather luxurious aromas of orange peel, walnut, stewed fruits, fleshy plum, peach pit, sherry fruit, gentle oak, and wood spices. Spiced marmalade, dark Seville orange, plum, vanilla, and plump raisin; this lays down a rich blanket of flavor, though it’s slit open by a piercing blade of spice. I like the subtlety of the sherry influence and the mouth-coating finish of orange peel, ginger, and spice."
530,"Dalmore Cigar Malt Reserve, 44%",Single Malt Scotch,91,180,$,"Aged in a mix of American white oak barrels, oloroso casks, and cabernet sauvignon barriques. Sherry, vanilla, caramel, ripe cherries, and sultanas on the nose. The palate yields characteristic Dalmore orange, plus brittle toffee, bitter chocolate, and cherry liqueur. Spicy licorice and soft oak in the finish."
531,"Dalmore 1263 King Alexander III, 40%",Single Malt Scotch,91,300,$,"Six different cask finishes were used for this bottling. Fudge, resin, tropical fruit, Seville oranges, and milk chocolate on the nose. Supple and smooth on the palate; complex, with red berries, orange rind, cream, cinnamon, and ginger. Long in the finish, with nougat, pepper, and dark berry fruits."
532,"Tamdhu Batch Strength (#004), 57.8%",Single Malt Scotch,91,90,$,"Aromas of newsprint, damp foliage, and wood spice dominate on the nose. Confident, almost fizzy sherry notes on the full palate, with sultanas, figs, and fruit spices. It becomes progressively more citric. The lengthy finish produces dark chocolate dipped in chili sauce. A sherry-soaked dram."
533,"GlenDronach 25 year old 1993 Master Vintage, 48.2%",Single Malt Scotch,91,350,$,"The nose is fragrant and floral, featuring ginger, hand-rolled tobacco, vanilla, hazelnuts, and ultimately, sweet sliced-apple aromas. Full-bodied in the mouth, with stewed fruits, milk chocolate, raisins, almonds, and lively spices. The finish is leisurely, with darkening milk chocolate, tannic oak, bitter tea, and persistent spiciness."
534,"Glengoyne Cask Strength (Batch #006), 59.8%",Single Malt Scotch,91,80,$,"This was matured entirely in sherry wood. Blackcurrants, black pepper, vanilla, caramel, and fruit spices on the nose. Supple on the malty palate, with red berry fruits, nutty sherry, and almonds. The finish is spicy, with black tea and firm oak."
535,"Glenmorangie 14 year old Quinta Ruban, 46%",Single Malt Scotch,91,55,$,"Orange segments sprinkled with black pepper on the nose, then spicy dark chocolate and coffee with cream. More dark chocolate and Jaffa orange on the palate, plus walnuts, almonds, and marzipan. Lengthy in the finish, with soft spices and continuing dark chocolate."
536,"Bruichladdich Islay Barley 2011, 50%",Single Malt Scotch,91,70,$,"Distilled from Oxbridge and Publican barley varieties grown on six Islay farms. Lime, brine, oatmeal cookies, and custard on the nose. Sweet barley, apricots, sultanas, cloves, and quite tannic oak on the palate. Malt and sea salt in the medium-length finish."
537,"Kilchoman Loch Gorm (2019 Release), 46%",Single Malt Scotch,91,110,$,"Sweet fruity peat, new leather, cinnamon, and ginger on the nose. Good blend of smoke and sherry on the substantial palate, with peppery red berries, dark chocolate, and peat. The long smoky finish features lively fruit spices. (1,920 bottles in U.S.)"
538,"Port Askaig 25 year old, 45.8%",Single Malt Scotch,91,450,$,"Remarkably fresh and fruity on the opening nose, then lively pineapple, mango, and peaches. Ashy woodsmoke lurks behind the fruit. Finally, brine and black pepper. Vibrant orchard fruits on the palate, with barbecue flavors that become peatier and spicier in time. Aniseed, lemon, tobacco, and tangy oak in the lengthy finish. (3,000 bottles for U.S. and Canada)"
539,"Bruichladdich Bere Barley 2010, 50%",Single Malt Scotch,91,100,$,"Distilling with heirloom grains has become commonplace in the U.S., but much less so in Scotland. With this utterly unique single malt made from the historic Bere barley variety, Bruichladdich reexamines whisky flavors starting with the raw material. Herbal pine bough, salted almond, and tropical fruit appear on the nose, followed by a creamy mouthfeel with intense chocolate, pepper, citrus oil, pine sap, and perfumy chamomile flavors. The full, round finish has rose petal, white pepper, and vanilla overlaying a delicate but pronounced structure. Number 15 in the 2019 Top 20 "
540,"Duncan Taylor 10 year old Dimensions Cask Strength 2008 (distilled at Tobermory), 53%",Single Malt Scotch,91,62,$,"Highly approachable at cask strength with lemon biscuits, oak shavings, kiwi, vanilla essence, and breezy maritime notes. The palate unpacks lemon meringue pie and green melon, with an undercurrent of spice. Vanilla and caramel build atop a growing disquiet of peppery spice, with hints of peppermint to finish. This works superbly as a drinking experience without diluting."
541,"Bruichladdich Bere Barley 2010, 50%",Single Malt Scotch,91,100,$,"This 8 year old was distilled using Bere barley, a low-yielding heritage strain grown on the Orkney Islands. Aromas of a damp cellar; oily, nutty, with cereal, burlap, and mild orchard fruit notes. The palate is persistently oily, with pineapple, honey, nutmeg, and white pepper. Drying in the finish, with licorice, coal, and strong black tea. Proof that barley varieties can make a difference. (18,000 bottles; individual reviewer rating: 92)"
542,"Cragganmore 12 year old (Diageo Special Releases 2019), 58.4%",Single Malt Scotch,91,113,$,"Matured in refill American oak casks that previously held peated whisky, this 2006 distillate presents a nose of cider, heather, ginger, malt, hints of nutmeg, and peat. Ripe red apples on the palate, with honey, vanilla fudge, and a faint background wisp of smoke. Relatively long in the finish, with that light smoke persisting alongside black pepper, oak, and now unripe apples. £85"
543,"Talisker 15 year old (Diageo Special Releases 2019), 57.3%",Single Malt Scotch,91,147,$,"The first 15 year old release from Talisker, this was matured in freshly charred American oak hogsheads. Marzipan, damp tweed, cooking chocolate, and white pepper on the nose, with light iodine and peat notes. Notably sweet on the palate, with fleshy oranges, peaches, cocoa powder, woodsmoke, and peppery peat. The finish is medium to long, with quite restrained Talisker pepperiness. £110"
544,"Compass Box Myths & Legends II, 46%",Single Malt Scotch,91,150,$,"Two parcels of single malt of differing ages from a Speyside distillery were blended to create this expression. The nose yields milk chocolate, fudge, slightly smoky apricot halves in syrup, and clotted cream. Good mouthfeel, with butterscotch, and orange segments dipped in hot chocolate on the palate. The peppery finish features dark chocolate and bitter orange. (4,446 bottles)"
545,"Compass Box Myths & Legends III, 46%",Blended Malt Scotch Whisky,91,150,$,"This is a peat-turbocharged version of Myths &Legends II. Mango, papaya, and burnt sugar meet soot, ground ginger, and aniseed: the bold tropical fruits are an equal match for the smoke. Beginning sharp and crisp with mango and tangerine, this nimble blend lets smoke and more assertive spice notes elbow their way forward, but they achieve consensus in the end. (4,564 bottles)"
546,"Mortlach 15 year old Six Kingdoms, 46%",Single Malt Scotch,91,150,$,"The ninth and final release in Diageo’s Game of Thrones series was aged in first-fill sherry-seasoned casks and finished in bourbon barrels. Vanilla and toffee, plus spicy oak on the nose, while the full sherried palate yields dry fruit, spicy citrus notes, almonds, more vanilla, and caramel. The leisurely finish presents wood spices and Jaffa oranges."
547,"GlenDronach Cask Strength (Batch 8), 61%",Single Malt Scotch,91,95,$,"As with previous batches, this was matured in a mix of Pedro Ximénez and oloroso sherry butts, puncheons, and quarter casks. The nose offers quite subtle sherry, malt, vanilla, dark chocolate, and black treacle. The palate is notably spicy, with hot ginger, black pepper, cloves, and cinnamon, along with sherry, cocktail cherries, more dark chocolate, and bitter coffee. Long, oaky, spicy, and drying in the finish."
548,"Kilchoman 100% Islay (2019 Release), 50%",Single Malt Scotch,91,110,$,"This expression was distilled from barley harvested on Islay in 2007 and 2009, and combines whisky aged in 43 bourbon barrels. Sweet peat, lemon juice, and sea salt on the nose, with honey, vanilla, and an herbal note. The palate opens with overt peatiness, followed by brine and lemon, plus vanilla and a hint of charcoal. Long in the finish, with ashy peat and sea salt. (1,440 bottles for U.S.)"
549,"Ardbeg Supernova (2019 Release), 53.8%",Single Malt Scotch,91,180,$,"This is the fifth release of Ardbeg’s most heavily peated expression. The bold nose yields ashy peat, fish oil, hot lemon juice, black pepper, asphalt, and antiseptic cream. Oily and voluptuous on the sweet palate, with orchard fruits, honey, seaweed, and lots of moist peat. The finish is lengthy and very smoky, with chile, cinnamon, and barbecued meat."
550,"Bowmore 12 year old, 40%",Single Malt Scotch,91,52,$,"A great introduction to Bowmore’s single malts, and one of the best 12 year old single malt scotches around. The nose offers tropical fruit, sweet smoke, a hint of brine, new leather, and floral notes. Peaches, honey, vanilla, and more full-on smoke on the rounded palate. Brine, cocoa powder, citrus fruits, and fading woodsmoke in the finish."
551,"Johnnie Walker A Song of Ice, 40.2%",Blended Scotch Whisky,91,36,$,"This pale gold, limited-edition dram is named in honor of House Stark from the Song of Ice and Fire book series, better known by its television name, Game of Thrones. Designed for Highballs or pouring over ice, it offers a nose of vanilla sponge cake sweetness, dried grasses, green melon, spring blossoms, white pepper, and a faint trace of peppermint. It has a soft, caressing character, with melon, pulpy summer fruits, sour lemon, butterscotch, barley sugar, vanilla caramel, and a later supportive fizzle of spice. It concludes with a finish of sweet vanilla and fruits."
552,"Chivas Regal 13 year old Manchester United Limited Edition, 40%",Blended Scotch Whisky,91,35,$,"Bottled in recognition of Sir Alex Ferguson’s remarkable thirteen league soccer titles, this scotch does him proud. Juicy citrus, aromatic spices, and vanilla pudding; the nose is enveloped with milk chocolate aromas and further spiciness. The blend was selectively finished in American rye barrels, and the flavors crescendo through orange, malt, chocolate, mint, and pepper, with some rye spices that usher in a lengthy, spicy finish. Blissfully good. Best Value"
